Zip Code,Population,Predicted Incidents
14892,8189,1282.839621
14850,63886,65693.58989
14845,20453,17760.65218
14217,23480,43623.36259
14211,22611,35059.18065
14210,14694,1441.336551
14208,11125,17588.6049
14206,20751,4168.618989
14202,3911,58540.02311
14132,6218,6185.536326
14068,7150,7826.274167
13614,357,16062.1872
13440,42986,33109.89479
13088,22156,7354.811859
12590,35102,12921.12939
12589,17228,14616.44297
12303,29857,1362.069012
12211,11303,54800.37265
12203,29952,5953.303023
12202,9628,8451.652739
12046,817,1519.230801
11967,26583,1425.61829
11803,28127,807.0198324
11798,15347,14448.4605
11795,26030,14771.4489
11793,32298,53146.95949
11791,25076,830.5719989
11767,14530,1247.226265
11764,13200,1094.030726
11763,28506,8425.377135
11762,22360,31842.33448
11758,53804,56218.27258
11757,45700,5157.488853
11756,42791,855.802162
11755,12387,1269.98567
11754,18958,42728.90077
11753,12014,26482.32444
11747,19803,2977.504948
11746,67094,926.8871328
11743,42230,4162.752151
11742,13261,827.4501933
11598,13328,61059.04008
11596,10480,1768.238968
11579,5055,7424.788548
11576,12366,877.3126118
11575,16272,50648.13301
11572,30574,1432.006976
11570,26646,34906.74434
11568,4555,1237.624837
11566,35321,4655.021733
11563,22666,6595.941402
11548,2780,19864.19747
11542,27633,3196.447655
11509,2653,18904.6187
11385,98592,42320.94148
11379,34821,831.9732281
11377,89830,23381.49592
11375,68733,2491.832939
11374,43600,12596.64873
11370,39688,18126.21364
11369,38615,7642.685262
11368,109931,10602.26168
11367,41047,828.3362595
11366,13532,1371.891568
11363,6988,15948.76833
11362,17823,16116.09629
11360,18884,44480.81039
11358,37546,2748.833645
11357,39150,1023.377242
11356,23438,2650.055267
11355,85871,64943.28169
11354,54878,2439.473409
11238,49262,844.5273466
11215,63488,921.5282752
11106,38875,68983.28556
11105,36688,1383.3843
11104,27232,17633.06231
11102,34133,19447.40435
11101,25484,59340.45318
11024,8002,3594.80171
11021,17729,854.21358
11020,5914,910.5788047
11010,23821,17671.5646
11004,14016,39128.58971
10990,20631,2706.457769
10989,9293,905.0548266
10987,3395,1689.487132
10980,13383,1597.909015
10977,59048,32249.56756
10964,1472,16592.32419
10960,15093,5490.587683
10954,23045,1291.926525
10916,4540,37103.57677
10710,25120,8802.419774
10708,21225,984.6328322
10707,10097,17909.16738
10706,8679,53820.08359
10705,38777,3419.289194
10704,30165,2841.70297
10703,20301,903.8655566
10577,6552,34303.22454
10576,5116,16236.57929
10573,38352,3445.144929
10562,31796,834.830773
10536,10739,22051.82761
10533,7322,14725.60825
10532,4931,17063.92689
10528,12280,5024.854237
10523,7444,820.9385043
10522,10875,35803.84714
10520,12810,18885.38355
10514,11946,2007.918733
10510,9988,12845.43748
10506,5790,21205.04774
