zipcode,population,incident
11692.0,18540.0,5189.13331548
11520.0,43341.0,22936.3369282
11372.0,66636.0,39605.8707438
11801.0,39553.0,20225.7039987
10566.0,23570.0,8788.52181481
10003.0,56024.0,32012.0912696
11361.0,28606.0,12392.2038193
11005.0,1806.0,0
11716.0,10700.0,0
14710.0,3540.0,0
11023.0,9027.0,0
14450.0,41104.0,21335.5750847
11221.0,78895.0,48378.2173866
13790.0,19104.0,5592.72280129
11426.0,17590.0,4509.32833051
11416.0,24861.0,9712.34101017
10504.0,7987.0,0
10030.0,26999.0,11242.2600184
11565.0,8690.0,0
10452.0,75371.0,45856.4986845
11766.0,12635.0,963.608645773
11434.0,59129.0,34233.9801941
14209.0,7926.0,0
10017.0,16575.0,3783.01037289
11364.0,34555.0,16649.2141936
11419.0,47211.0,25705.6477617
11003.0,41356.0,21515.9023017
10031.0,56438.0,32308.3431262
10952.0,38917.0,19770.5924509
10471.0,22922.0,8324.82325665
11558.0,8370.0,0
10162.0,1685.0,0
11233.0,67053.0,39904.2693529
10461.0,50502.0,28060.6353465
11206.0,81677.0,50368.9726162
10307.0,14096.0,2009.07715423
11234.0,87757.0,54719.72452
10460.0,57311.0,32933.0481282
14203.0,1618.0,0
11720.0,29189.0,12809.3894048
11421.0,39127.0,19920.8651318
10473.0,58519.0,33797.4738354
11428.0,19168.0,5638.52018975
11559.0,8176.0,0
11693.0,11916.0,449.103609784
14051.0,19533.0,5899.70842081
11096.0,8344.0,0
14467.0,9105.0,0
11964.0,1858.0,0
10512.0,25590.0,10234.0018881
11768.0,21902.0,7594.92737806
10010.0,31834.0,14702.1095998
10308.0,27357.0,11498.4391601
11577.0,12337.0,750.364555753
10502.0,5487.0,0
10583.0,38982.0,19817.1054235
11103.0,38780.0,19672.5574162
11209.0,68853.0,41192.3209034
11797.0,9041.0,0
10941.0,13779.0,1782.23696451
11239.0,13393.0,1506.02146536
11557.0,7823.0,0
11581.0,20844.0,6837.83930006
11697.0,4079.0,0
11030.0,17962.0,4775.52565094
11229.0,80018.0,49181.8184372
11772.0,44837.0,24006.8508835
10530.0,12604.0,941.425535737
10019.0,42870.0,22599.2967725
10314.0,85510.0,53111.8068345
11373.0,100820.0,64067.4008554
11948.0,1123.0,0
10550.0,37144.0,18501.8616737
11040.0,40782.0,21105.156974
14052.0,17329.0,4322.56085569
10553.0,10170.0,0
10603.0,17045.0,4119.3349444
11207.0,93386.0,58747.747952
11703.0,16415.0,3668.51690174
10580.0,17208.0,4235.97516814
10598.0,28647.0,12421.5427713
12553.0,24438.0,9409.64889581
10025.0,94600.0,59616.4671643
11412.0,34882.0,16883.2102253
13057.0,14992.0,2650.24059268
11001.0,26883.0,11159.2522519
10024.0,59283.0,34344.1801601
10570.0,12680.0,995.809934535
10463.0,67970.0,40560.4600595
11378.0,34981.0,16954.0530605
10701.0,63393.0,37285.2312003
10921.0,4135.0,0
14009.0,5672.0,0
11691.0,60035.0,34882.2994745
10465.0,42230.0,22141.3228879
10475.0,40931.0,21211.779019
11714.0,22658.0,8135.90902925
11741.0,27655.0,11711.6832502
14614.0,1224.0,0
14701.0,40730.0,21067.9465959
11212.0,84500.0,52389.0667979
14228.0,20857.0,6847.14189459
11365.0,42252.0,22157.0657402
10801.0,40827.0,21137.3582627
10005.0,7135.0,0
11042.0,520.0,0
11222.0,36934.0,18351.5889928
11204.0,78134.0,47833.6578144
11789.0,7895.0,0
10454.0,37337.0,18639.9694232
10009.0,61347.0,35821.145938
11580.0,40113.0,20626.4311477
11561.0,37280.0,18599.1811241
11590.0,45768.0,24673.0597688
