name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
12066,12066,1002,0.218113754,5-Digit ZCTA,1001,Z5,0.001229053,42.7544165,-74.269928,2143
14723,14723,1293,0.661908318,5-Digit ZCTA,1292,Z5,0.011282138,42.310052,-79.1440105,1295
12210,12210,1087,0.086074115,5-Digit ZCTA,1086,Z5,0.000259628,42.657779,-73.7580645,10158
12059,12059,1062,0.595556391,5-Digit ZCTA,1061,Z5,0.008200892,42.6257485,-74.0616095,1632
13319,13319,763,0.117063158,5-Digit ZCTA,762,Z5,0.000423171,43.030219,-75.2773525,1079
12546,12546,1518,0.700215641,5-Digit ZCTA,1517,Z5,0.013021401,41.9789335,-73.551218,3039
12740,12740,1555,1.045261008,5-Digit ZCTA,1554,Z5,0.019198774,41.874709,-74.4706615,1886
145HH,145HH,488,0.135984514,5-Digit ZCTA,487,Z5,6.48E-05,43.339757,-78.2163785,
11213,11213,2142,0.07360854,5-Digit ZCTA,2141,Z5,0.000299466,40.6717475,-73.936036,63767
121HH,121HH,1232,0.059680643,5-Digit ZCTA,1231,Z5,0.000102267,42.443473,-74.4549885,
12455,12455,1385,0.1438971,5-Digit ZCTA,1384,Z5,0.000484853,42.223558,-74.5319255,
10704,10704,1867,0.127572237,5-Digit ZCTA,1866,Z5,0.000777779,40.921138,-73.860757,30165
13491,13491,835,1.185453741,5-Digit ZCTA,834,Z5,0.021613229,42.862661,-75.1763705,3641
13403,13403,574,0.471476246,5-Digit ZCTA,573,Z5,0.007825129,43.171142,-75.2721605,
13634,13634,262,0.948336551,5-Digit ZCTA,261,Z5,0.01354587,44.020479,-76.08627,3984
12831,12831,579,0.024843352,5-Digit ZCTA,578,Z5,2.41E-05,43.209394,-73.582442,
14622,14622,556,0.217107658,5-Digit ZCTA,555,Z5,0.001431949,43.219013,-77.5569725,12108
12749,12749,1636,0.168618924,5-Digit ZCTA,1635,Z5,0.000574022,41.6896635,-74.8284055,300
13313,13313,908,0.145277631,5-Digit ZCTA,907,Z5,0.000548121,42.879714,-75.2683935,526
10595,10595,1816,0.05832697,5-Digit ZCTA,1815,Z5,9.31E-05,41.0835805,-73.753295,8195
12941,12941,153,0.073175689,5-Digit ZCTA,152,Z5,0.00012998,44.440412,-73.715002,
14607,14607,636,0.120546632,5-Digit ZCTA,635,Z5,0.000510791,43.151763,-77.579673,16223
12844,12844,434,0.221121837,5-Digit ZCTA,433,Z5,0.000796813,43.4896925,-73.6210615,199
12022,12022,1041,0.382911588,5-Digit ZCTA,1040,Z5,0.006827493,42.6679305,-73.32572465,929
14080,14080,1068,0.648293636,5-Digit ZCTA,1067,Z5,0.015651306,42.633266,-78.543738,4330
12035,12035,1021,0.439476238,5-Digit ZCTA,1020,Z5,0.003863884,42.720565,-74.384722,802
120HH,120HH,938,0.08554884,5-Digit ZCTA,937,Z5,5.58E-05,42.841645,-73.913018,
11354,11354,2009,0.13925087,5-Digit ZCTA,2008,Z5,0.000608529,40.76598,-73.8264125,54878
12814,12814,416,0.024669317,5-Digit ZCTA,415,Z5,3.09E-05,43.5593975,-73.6465635,1574
12768,12768,1563,0.540395576,5-Digit ZCTA,1562,Z5,0.009825351,41.86386,-74.704596,1131
145HH,145HH,498,0.152716071,5-Digit ZCTA,497,Z5,0.000118934,43.3146555,-78.2662005,
11758,11758,2232,0.031660098,5-Digit ZCTA,2231,Z5,4.16E-05,40.6112015,-73.4786695,
