# zipcode,population,num_incidents
1.154200000000000000e+04,2.763300000000000000e+04,1.900000000000000000e+01
1.154800000000000000e+04,2.780000000000000000e+03,1.000000000000000000e+00
1.138500000000000000e+04,9.859200000000000000e+04,6.718600000000000000e+04
1.096400000000000000e+04,1.472000000000000000e+03,2.000000000000000000e+00
1.096000000000000000e+04,1.509300000000000000e+04,1.000000000000000000e+00
1.176200000000000000e+04,2.236000000000000000e+04,4.000000000000000000e+00
1.176300000000000000e+04,2.850600000000000000e+04,7.000000000000000000e+00
1.176700000000000000e+04,1.453000000000000000e+04,4.000000000000000000e+00
1.176400000000000000e+04,1.320000000000000000e+04,1.000000000000000000e+00
1.070800000000000000e+04,2.122500000000000000e+04,1.000000000000000000e+01
1.070300000000000000e+04,2.030100000000000000e+04,3.000000000000000000e+00
1.070700000000000000e+04,1.009700000000000000e+04,2.000000000000000000e+00
1.070600000000000000e+04,8.679000000000000000e+03,2.000000000000000000e+00
1.070500000000000000e+04,3.877700000000000000e+04,1.100000000000000000e+01
1.070400000000000000e+04,3.016500000000000000e+04,2.300000000000000000e+01
1.413200000000000000e+04,6.218000000000000000e+03,2.000000000000000000e+00
1.056200000000000000e+04,3.179600000000000000e+04,1.000000000000000000e+00
1.157900000000000000e+04,5.055000000000000000e+03,3.000000000000000000e+00
1.157600000000000000e+04,1.236600000000000000e+04,9.000000000000000000e+00
1.157500000000000000e+04,1.627200000000000000e+04,6.000000000000000000e+00
1.157200000000000000e+04,3.057400000000000000e+04,8.000000000000000000e+00
1.157000000000000000e+04,2.664600000000000000e+04,2.200000000000000000e+01
1.137900000000000000e+04,3.482100000000000000e+04,2.255800000000000000e+04
1.137500000000000000e+04,6.873300000000000000e+04,3.838100000000000000e+04
1.137400000000000000e+04,4.360000000000000000e+04,2.314200000000000000e+04
1.137700000000000000e+04,8.983000000000000000e+04,4.711600000000000000e+04
1.137000000000000000e+04,3.968800000000000000e+04,1.310900000000000000e+04
1.097700000000000000e+04,5.904800000000000000e+04,2.000000000000000000e+00
1.361400000000000000e+04,3.570000000000000000e+02,1.000000000000000000e+00
1.175700000000000000e+04,4.570000000000000000e+04,9.000000000000000000e+00
1.175600000000000000e+04,4.279100000000000000e+04,1.000000000000000000e+01
1.175500000000000000e+04,1.238700000000000000e+04,3.000000000000000000e+00
1.175400000000000000e+04,1.895800000000000000e+04,1.000000000000000000e+00
1.175300000000000000e+04,1.201400000000000000e+04,1.100000000000000000e+01
1.175800000000000000e+04,5.380400000000000000e+04,5.000000000000000000e+00
1.159600000000000000e+04,1.048000000000000000e+04,2.000000000000000000e+00
1.159800000000000000e+04,1.332800000000000000e+04,2.100000000000000000e+01
1.344000000000000000e+04,4.298600000000000000e+04,1.000000000000000000e+00
1.489200000000000000e+04,8.189000000000000000e+03,1.000000000000000000e+00
1.071000000000000000e+04,2.512000000000000000e+04,1.500000000000000000e+01
1.057600000000000000e+04,5.116000000000000000e+03,2.000000000000000000e+00
1.057700000000000000e+04,6.552000000000000000e+03,4.000000000000000000e+00
1.057300000000000000e+04,3.835200000000000000e+04,1.000000000000000000e+01
1.123800000000000000e+04,4.926200000000000000e+04,5.390100000000000000e+04
1.095400000000000000e+04,2.304500000000000000e+04,5.000000000000000000e+00
1.102400000000000000e+04,8.002000000000000000e+03,6.000000000000000000e+00
1.102100000000000000e+04,1.772900000000000000e+04,2.600000000000000000e+01
