# zipcode,Predicted
1.15E+04,7583.552
1.15E+04,1418.17
1.14E+04,67699.53
1.10E+04,1787.475
1.10E+04,1656.681
1.18E+04,4530.155
1.18E+04,8186.395
1.18E+04,1502.888
1.18E+04,1215.886
1.07E+04,3937.675
1.07E+04,3522.909
1.07E+04,796.5838
1.07E+04,734.6591
1.07E+04,16374.66
1.07E+04,9379.989
1.41E+04,830.5541
1.06E+04,10565.73
1.16E+04,968.2199
1.16E+04,1071.36
1.16E+04,2003.715
1.16E+04,9670.901
1.16E+04,6938.31
1.14E+04,12939.41
1.14E+04,46428.98
1.14E+04,20832.69
1.14E+04,63721.38
1.14E+04,17185.13
1.10E+04,36518.99
1.36E+04,2166.605
1.18E+04,22875.4
1.18E+04,20067.96
1.18E+04,1071.36
1.18E+04,2969.994
1.18E+04,1008.44
1.18E+04,31101.53
1.16E+04,829.0731
1.16E+04,1235.687
1.34E+04,20258.39
1.49E+04,732.9458
1.07E+04,6020.812
1.06E+04,959.6122
1.06E+04,802.3671
1.06E+04,16018.61
1.12E+04,26476.76
1.10E+04,4842.886
1.10E+04,735.0341
1.10E+04,2473.38
1.10E+04,861.4375
1.16E+04,1046.326
1.16E+04,4685.166
1.16E+04,13352.81
1.14E+04,68646.9
1.14E+04,16196.31
1.14E+04,1276.434
1.14E+04,18377.59
1.14E+04,2509.539
1.14E+04,772.2529
1.14E+04,2929.77
1.10E+04,750.9623
1.10E+04,1271.858
1.10E+04,1255.87
1.17E+04,1235.687
1.17E+04,19499.69
1.17E+04,44836.82
1.17E+04,3303.708
1.22E+04,913.5281
1.05E+04,874.5435
1.20E+04,6938.31
1.11E+04,12368.91
1.11E+04,6259.435
1.11E+04,16464.08
1.11E+04,14535.46
1.26E+04,2297.77
1.11E+04,7322.304
1.14E+04,15227.21
1.14E+04,16733.29
1.14E+04,5057.352
1.14E+04,61226.36
1.14E+04,32244.64
1.10E+04,3658.299
1.22E+04,766.8035
1.22E+04,9235.945
1.49E+04,41591.27
1.05E+04,788.798
1.05E+04,993.6926
1.31E+04,4428.332
1.42E+04,4633.193
1.42E+04,1552.673
1.42E+04,5111.708
1.26E+04,13186.87
1.10E+04,1384.954
1.12E+04,41180.92
